block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
0,gen1,p,0,0,0,3878,Basic
0,gen1,p,1,1,0,3572,Basic
0,gen1,p,2,2,0,3394,Basic
0,gen1,p,3,3,0,3348,Basic
0,gen1,p,4,4,0,3395,Basic
0,gen1,p,5,5,0,3672,Basic
0,gen1,p,6,6,0,4093,Basic
0,gen1,p,7,7,0,4529,Basic
0,gen1,p,8,8,0,4587,Basic
0,gen1,p,9,9,0,4723,Basic
0,gen1,p,10,10,0,4893,Basic
0,gen1,p,11,11,0,4794,Basic
0,gen1,p,12,12,0,4765,Basic
0,gen1,p,13,13,0,4329,Basic
0,gen1,p,14,14,0,4155,Basic
0,gen1,p,15,15,0,4186,Basic
0,gen1,p,16,16,0,4034,Basic
0,gen1,p,17,17,0,4543,Basic
0,gen1,p,18,18,0,5213,Basic
0,gen1,p,19,19,0,5216,Basic
0,gen1,p,20,20,0,4978,Basic
0,gen1,p,21,21,0,4578,Basic
0,gen1,p,22,22,0,4535,Basic
0,gen1,p,23,23,0,4283,Basic
0,gen1,p,24,24,0,4044,Basic
0,gen1,p,25,25,0,3960,Basic
0,gen1,p,26,26,0,3696,Basic
0,gen1,p,27,27,0,3815,Basic
0,gen1,p,28,28,0,3990,Basic
0,gen1,p,29,29,0,4341,Basic
0,gen1,p,30,30,0,4869,Basic
0,gen1,p,31,31,0,5467,Basic
0,gen1,p,32,32,0,5577,Basic
0,gen1,p,33,33,0,5952,Basic
0,gen1,p,34,34,0,5828,Basic
0,gen1,p,35,35,0,5812,Basic
0,gen1,p,36,36,0,5851,Basic
0,gen1,p,37,37,0,5470,Basic
0,gen1,p,38,38,0,5266,Basic
0,gen1,p,39,39,0,5134,Basic
0,gen1,p,40,40,0,5069,Basic
0,gen1,p,41,41,0,5465,Basic
0,gen1,p,42,42,0,5790,Basic
0,gen1,p,43,43,0,5643,Basic
0,gen1,p,44,44,0,5161,Basic
0,gen1,p,45,45,0,5025,Basic
0,gen1,p,46,46,0,5244,Basic
0,gen1,p,47,47,0,5242,Basic
0,gen1,p,48,48,0,4874,Basic
0,gen1,p,49,49,0,4358,Basic
0,gen1,p,50,50,0,4044,Basic
0,gen1,p,51,51,0,3951,Basic
0,gen1,p,52,52,0,3796,Basic
0,gen1,p,53,53,0,4093,Basic
0,gen1,p,54,54,0,4746,Basic
0,gen1,p,55,55,0,5318,Basic
0,gen1,p,56,56,0,5568,Basic
0,gen1,p,57,57,0,5597,Basic
0,gen1,p,58,58,0,5483,Basic
0,gen1,p,59,59,0,5527,Basic
0,gen1,p,60,60,0,5437,Basic
0,gen1,p,61,61,0,4993,Basic
0,gen1,p,62,62,0,4872,Basic
0,gen1,p,63,63,0,4672,Basic
0,gen1,p,64,64,0,4858,Basic
0,gen1,p,65,65,0,5118,Basic
0,gen1,p,66,66,0,5433,Basic
0,gen1,p,67,67,0,5186,Basic
0,gen1,p,68,68,0,4408,Basic
0,gen1,p,69,69,0,4146,Basic
0,gen1,p,70,70,0,4309,Basic
0,gen1,p,71,71,0,4184,Basic
0,gen1,p,72,72,0,3916,Basic
0,gen1,p,73,73,0,3310,Basic
0,gen1,p,74,74,0,3192,Basic
0,gen1,p,75,75,0,3027,Basic
0,gen1,p,76,76,0,2980,Basic
0,gen1,p,77,77,0,2987,Basic
0,gen1,p,78,78,0,3372,Basic
0,gen1,p,79,79,0,3621,Basic
0,gen1,p,80,80,0,3925,Basic
0,gen1,p,81,81,0,4451,Basic
0,gen1,p,82,82,0,4302,Basic
0,gen1,p,83,83,0,4487,Basic
0,gen1,p,84,84,0,4267,Basic
0,gen1,p,85,85,0,3925,Basic
0,gen1,p,86,86,0,3735,Basic
0,gen1,p,87,87,0,3623,Basic
0,gen1,p,88,88,0,3577,Basic
0,gen1,p,89,89,0,4059,Basic
0,gen1,p,90,90,0,4361,Basic
